# n tiempo_standar tiempo_strassen
2 2.149 1.282
4 3.106 2.386
8 5.724 5.358
16 20.064 14.246
32 120.477 94.399
64 770.935 997.224
128 5804.3 6324.94
256 47146.2 44878.7
512 538195 330859
